name,element,GW,bonus,clean_sheets,goals_conceded,minutes,own_goals,penalties_saved,saves,selected,transfers_balance,yellow_cards,value,total_points,mean_reversion
André Onana,597,4,1,1,7,360,0,0,15,24.7,-312369,2,5.0,11,0.16666666666666607
André Onana,597,5,1,1,10,450,0,0,20,22.7,-505799,2,5.0,13,0.0
André Onana,597,6,1,2,10,540,0,0,24,21.1,-650527,2,4.9,20,0.8333333333333339
Andy Lonergan,579,1,0,0,0,0,0,0,0,0.1,-48,0,4.0,0,0.0
Andy Lonergan,579,2,0,0,0,0,0,0,0,0.1,-332,0,4.0,0,0.0
Andy Lonergan,579,3,0,0,0,0,0,0,0,0.1,-525,0,4.0,0,0.0
Andy Lonergan,579,4,0,0,0,0,0,0,0,0.1,-760,0,4.0,0,0.0
Andy Lonergan,579,5,0,0,0,0,0,0,0,0.1,-914,0,4.0,0,0.0
Andy Lonergan,579,6,0,0,0,0,0,0,0,0.1,-1062,0,4.0,0,0.0
Arijanet Muric,172,1,0,0,0,0,0,0,0,0.3,-2224,0,4.5,0,0.0
Arijanet Muric,172,2,0,0,0,0,0,0,0,0.2,-5366,0,4.5,0,0.0
Arijanet Muric,172,3,0,0,0,0,0,0,0,0.2,-6827,0,4.4,0,0.0
Arijanet Muric,172,4,0,0,0,0,0,0,0,0.2,-8555,0,4.4,0,0.0
Arijanet Muric,172,5,0,0,0,0,0,0,0,0.2,-9437,0,4.4,0,0.0
Arijanet Muric,172,6,0,0,0,0,0,0,0,0.2,-10471,0,4.4,0,0.0
Bailey Peacock-Farrell,175,1,0,0,0,0,0,0,0,0.0,-190,0,4.0,0,0.0
Bailey Peacock-Farrell,175,2,0,0,0,0,0,0,0,0.0,-373,0,4.0,0,0.0
Bailey Peacock-Farrell,175,3,0,0,0,0,0,0,0,0.0,-452,0,4.0,0,0.0
Bailey Peacock-Farrell,175,4,0,0,0,0,0,0,0,0.0,-559,0,4.0,0,0.0
Bailey Peacock-Farrell,175,5,0,0,0,0,0,0,0,0.0,-616,0,4.0,0,0.0
Bailey Peacock-Farrell,175,6,0,0,0,0,0,0,0,0.0,-671,0,4.0,0,0.0
Bart Verbruggen,152,1,0,0,0,0,0,0,0,0.5,-3754,0,4.5,0,0.0
Bart Verbruggen,152,2,0,0,0,0,0,0,0,0.4,-10513,0,4.4,0,0.0
Bart Verbruggen,152,3,0,0,3,90,0,0,4,0.4,-11938,0,4.4,2,0.0
Bart Verbruggen,152,4,0,0,4,180,0,0,6,0.4,-9155,0,4.4,4,0.8333333333333334
Bart Verbruggen,152,5,0,0,4,180,0,0,6,0.4,-8472,0,4.4,4,0.0
Bart Verbruggen,152,6,0,0,5,270,0,0,8,0.4,-9687,0,4.4,6,-0.666666666666667
Bernd Leno,275,1,3,1,0,90,0,0,9,8.5,60284,0,4.5,12,0.0
Bernd Leno,275,2,3,1,3,180,0,0,14,9.9,130100,0,4.5,14,0.0
Bernd Leno,275,3,5,1,5,270,0,0,22,10.3,163132,0,4.5,19,0.0
Bernd Leno,275,4,5,1,10,360,0,0,22,11.4,264152,0,4.5,19,1.0
Bernd Leno,275,5,5,2,10,450,0,0,24,13.0,417689,0,4.6,25,0.46666666666666856
Bernd Leno,275,6,8,3,10,540,0,0,27,14.5,555763,0,4.6,35,-0.33333333333333215
Brandon Austin,491,1,0,0,0,0,0,0,0,0.2,159,0,4.0,0,0.0
Brandon Austin,491,2,0,0,0,0,0,0,0,0.2,-467,0,4.0,0,0.0
Brandon Austin,491,3,0,0,0,0,0,0,0,0.2,-1062,0,4.0,0,0.0
Brandon Austin,491,4,0,0,0,0,0,0,0,0.2,-1970,0,4.0,0,0.0
